folder,type,id,height,width,path
train,clean,317,676,80,317_130248_317-130248-0017.npy
train,clean,317,1018,80,317_130248_317-130248-0024.npy
train,clean,317,356,80,317_127219_317-127219-0048.npy
train,clean,317,974,80,317_127219_317-127219-0002.npy
train,clean,317,239,80,317_130243_317-130243-0003.npy
train,clean,317,822,80,317_130243_317-130243-0017.npy
train,clean,317,602,80,317_130243_317-130243-0019.npy
train,clean,317,848,80,317_127219_317-127219-0021.npy
train,clean,317,886,80,317_130248_317-130248-0036.npy
train,clean,317,878,80,317_130248_317-130248-0015.npy
train,clean,317,831,80,317_127219_317-127219-0014.npy
train,clean,317,847,80,317_130248_317-130248-0021.npy
train,clean,317,804,80,317_130243_317-130243-0002.npy
train,clean,317,788,80,317_130248_317-130248-0014.npy
train,clean,317,918,80,317_130248_317-130248-0012.npy
train,clean,4021,909,80,4021_180238_4021-180238-0087.npy
train,clean,4021,832,80,4021_180238_4021-180238-0093.npy
train,clean,4021,1006,80,4021_180238_4021-180238-0040.npy
train,clean,4021,286,80,4021_130137_4021-130137-0002.npy
train,clean,4021,856,80,4021_130137_4021-130137-0026.npy
train,clean,4021,816,80,4021_180238_4021-180238-0030.npy
train,clean,4021,971,80,4021_180238_4021-180238-0089.npy
train,clean,4021,756,80,4021_180238_4021-180238-0092.npy
train,clean,4021,977,80,4021_180238_4021-180238-0036.npy
train,clean,4021,821,80,4021_180238_4021-180238-0018.npy
train,clean,4021,1016,80,4021_180238_4021-180238-0007.npy
train,clean,4021,797,80,4021_180238_4021-180238-0049.npy
train,clean,4021,934,80,4021_180238_4021-180238-0071.npy
train,clean,4021,917,80,4021_180238_4021-180238-0043.npy
train,clean,4021,800,80,4021_180238_4021-180238-0023.npy
train,clean,4021,940,80,4021_130137_4021-130137-0015.npy
train,clean,8009,104,80,8009_283568_8009-283568-0024.npy
train,clean,8009,501,80,8009_292146_8009-292146-0016.npy
train,clean,8009,608,80,8009_291933_8009-291933-0027.npy
train,clean,8009,982,80,8009_283568_8009-283568-0026.npy
train,clean,8009,945,80,8009_283568_8009-283568-0011.npy
train,clean,8009,583,80,8009_283568_8009-283568-0032.npy
train,clean,8009,747,80,8009_283568_8009-283568-0025.npy
train,clean,8009,231,80,8009_282531_8009-282531-0014.npy
train,clean,8009,694,80,8009_291933_8009-291933-0026.npy
train,clean,8009,881,80,8009_291933_8009-291933-0019.npy
train,clean,8009,228,80,8009_284678_8009-284678-0023.npy
train,clean,8009,342,80,8009_291933_8009-291933-0020.npy
train,clean,8009,357,80,8009_292146_8009-292146-0018.npy
train,clean,8009,443,80,8009_292146_8009-292146-0021.npy
train,clean,8009,848,80,8009_283568_8009-283568-0028.npy
train,clean,8009,939,80,8009_284678_8009-284678-0025.npy
train,clean,8009,596,80,8009_291933_8009-291933-0004.npy
train,clean,8009,1003,80,8009_283568_8009-283568-0014.npy
train,clean,8009,591,80,8009_292146_8009-292146-0019.npy
train,clean,8009,970,80,8009_282532_8009-282532-0002.npy
train,clean,8009,936,80,8009_284678_8009-284678-0031.npy
train,clean,8009,886,80,8009_284678_8009-284678-0032.npy
train,clean,8009,873,80,8009_291933_8009-291933-0013.npy
train,clean,8009,804,80,8009_282532_8009-282532-0008.npy
train,clean,8009,1003,80,8009_282532_8009-282532-0009.npy
train,clean,3657,1009,80,3657_19115_3657-19115-0005.npy
train,clean,3657,862,80,3657_19115_3657-19115-0028.npy
train,clean,3657,911,80,3657_182397_3657-182397-0002.npy
train,clean,3657,975,80,3657_182397_3657-182397-0027.npy
train,clean,3657,929,80,3657_182397_3657-182397-0013.npy
train,clean,3657,904,80,3657_182397_3657-182397-0028.npy
train,clean,3657,913,80,3657_19115_3657-19115-0035.npy
train,clean,3657,833,80,3657_19115_3657-19115-0022.npy
train,clean,3657,1036,80,3657_78622_3657-78622-0022.npy
train,clean,3657,741,80,3657_182397_3657-182397-0035.npy
train,clean,3657,949,80,3657_182397_3657-182397-0026.npy
train,clean,3657,1000,80,3657_19115_3657-19115-0026.npy
train,clean,3657,942,80,3657_78622_3657-78622-0005.npy
train,clean,3657,125,80,3657_19115_3657-19115-0016.npy
train,clean,202,439,80,202_129387_202-129387-0033.npy
train,clean,202,506,80,202_130622_202-130622-0002.npy
train,clean,202,971,80,202_129387_202-129387-0004.npy
train,clean,202,142,80,202_129387_202-129387-0065.npy
train,clean,202,895,80,202_122857_202-122857-0031.npy
train,clean,202,687,80,202_129387_202-129387-0013.npy
train,clean,202,134,80,202_129387_202-129387-0082.npy
train,clean,202,117,80,202_129387_202-129387-0064.npy
train,clean,202,891,80,202_129387_202-129387-0041.npy
train,clean,202,452,80,202_129387_202-129387-0017.npy
train,clean,202,997,80,202_130622_202-130622-0022.npy
train,clean,202,790,80,202_122857_202-122857-0030.npy
train,clean,202,257,80,202_130622_202-130622-0004.npy
train,clean,1430,874,80,1430_139231_1430-139231-0003.npy
train,clean,1430,427,80,1430_1061_1430-1061-0028.npy
train,clean,1430,950,80,1430_1061_1430-1061-0006.npy
train,clean,1430,986,80,1430_1061_1430-1061-0030.npy
train,clean,1430,864,80,1430_139231_1430-139231-0014.npy
train,clean,1430,867,80,1430_139231_1430-139231-0007.npy
train,clean,1430,929,80,1430_1061_1430-1061-0051.npy
train,clean,1430,403,80,1430_1061_1430-1061-0029.npy
train,clean,1430,498,80,1430_139231_1430-139231-0043.npy
train,clean,1430,747,80,1430_139231_1430-139231-0050.npy
train,clean,1430,899,80,1430_1061_1430-1061-0013.npy
train,clean,1430,907,80,1430_139231_1430-139231-0002.npy
train,clean,1430,813,80,1430_139231_1430-139231-0032.npy
train,clean,1430,910,80,1430_1061_1430-1061-0034.npy
train,clean,1430,875,80,1430_139231_1430-139231-0051.npy
train,clean,1430,914,80,1430_1061_1430-1061-0050.npy
train,clean,1665,1069,80,1665_141758_1665-141758-0049.npy
train,clean,1665,945,80,1665_132826_1665-132826-0034.npy
train,clean,1665,913,80,1665_136991_1665-136991-0017.npy
train,clean,1665,962,80,1665_136991_1665-136991-0023.npy
train,clean,1665,907,80,1665_141758_1665-141758-0004.npy
train,clean,1665,979,80,1665_141758_1665-141758-0051.npy
train,clean,1665,909,80,1665_132826_1665-132826-0002.npy
train,clean,1665,932,80,1665_136991_1665-136991-0002.npy
train,clean,1665,850,80,1665_136991_1665-136991-0011.npy
train,clean,1665,646,80,1665_132826_1665-132826-0023.npy
train,clean,1665,120,80,1665_132826_1665-132826-0030.npy
train,clean,5933,796,80,5933_73033_5933-73033-0020.npy
train,clean,5933,790,80,5933_73033_5933-73033-0029.npy
train,clean,5933,503,80,5933_91994_5933-91994-0007.npy
train,clean,5933,918,80,5933_73033_5933-73033-0024.npy
train,clean,5933,501,80,5933_91994_5933-91994-0029.npy
train,clean,5933,583,80,5933_91994_5933-91994-0012.npy
train,clean,5933,906,80,5933_73033_5933-73033-0010.npy
train,clean,5933,320,80,5933_91994_5933-91994-0024.npy
train,clean,5933,642,80,5933_104482_5933-104482-0016.npy
train,clean,5933,1025,80,5933_73033_5933-73033-0011.npy
train,clean,5933,859,80,5933_73033_5933-73033-0037.npy
train,clean,5933,982,80,5933_104482_5933-104482-0022.npy
train,clean,5933,946,80,5933_104482_5933-104482-0019.npy
train,clean,5933,946,80,5933_91994_5933-91994-0016.npy
train,clean,5933,810,80,5933_104482_5933-104482-0005.npy
train,clean,5933,727,80,5933_91994_5933-91994-0034.npy
train,clean,5933,921,80,5933_104482_5933-104482-0009.npy
train,clean,5933,1029,80,5933_91994_5933-91994-0014.npy
train,clean,7026,813,80,7026_86941_7026-86941-0024.npy
train,clean,7026,874,80,7026_86946_7026-86946-0031.npy
train,clean,7026,943,80,7026_86946_7026-86946-0003.npy
train,clean,7026,777,80,7026_86946_7026-86946-0038.npy
train,clean,7026,480,80,7026_86946_7026-86946-0044.npy
train,clean,7026,999,80,7026_86943_7026-86943-0029.npy
train,clean,7026,936,80,7026_86943_7026-86943-0007.npy
train,clean,7026,776,80,7026_86941_7026-86941-0027.npy
train,clean,7026,932,80,7026_86943_7026-86943-0012.npy
train,clean,7026,888,80,7026_86946_7026-86946-0011.npy
train,clean,7026,1001,80,7026_86946_7026-86946-0023.npy
train,clean,7026,542,80,7026_86941_7026-86941-0014.npy
train,clean,2730,807,80,2730_154436_2730-154436-0015.npy
train,clean,2730,770,80,2730_154436_2730-154436-0060.npy
train,clean,2730,838,80,2730_154436_2730-154436-0039.npy
train,clean,2730,438,80,2730_154436_2730-154436-0020.npy
train,clean,2730,633,80,2730_154436_2730-154436-0014.npy
train,clean,2730,917,80,2730_154437_2730-154437-0001.npy
train,clean,2730,306,80,2730_154436_2730-154436-0006.npy
train,clean,2730,921,80,2730_154436_2730-154436-0056.npy
train,clean,2730,222,80,2730_154436_2730-154436-0018.npy
train,clean,6950,1025,80,6950_86713_6950-86713-0013.npy
train,clean,6950,981,80,6950_86822_6950-86822-0012.npy
train,clean,6950,945,80,6950_86713_6950-86713-0022.npy
train,clean,6950,826,80,6950_86822_6950-86822-0017.npy
train,clean,6950,996,80,6950_86822_6950-86822-0025.npy
train,clean,6950,947,80,6950_86822_6950-86822-0027.npy
train,clean,6950,958,80,6950_86823_6950-86823-0032.npy
train,clean,6950,828,80,6950_86823_6950-86823-0017.npy
train,clean,6950,917,80,6950_86713_6950-86713-0041.npy
train,clean,6950,544,80,6950_86823_6950-86823-0004.npy
train,clean,6950,609,80,6950_86713_6950-86713-0023.npy
train,clean,6950,789,80,6950_86822_6950-86822-0021.npy
train,clean,6950,250,80,6950_86823_6950-86823-0001.npy
train,clean,6950,775,80,6950_86713_6950-86713-0042.npy
train,clean,6950,872,80,6950_86822_6950-86822-0044.npy
train,clean,6950,343,80,6950_86823_6950-86823-0024.npy
train,clean,6950,246,80,6950_86823_6950-86823-0010.npy
train,clean,6950,909,80,6950_86823_6950-86823-0023.npy
train,clean,6950,698,80,6950_86823_6950-86823-0015.npy
train,clean,6950,968,80,6950_86823_6950-86823-0031.npy
train,clean,6950,764,80,6950_86823_6950-86823-0027.npy
train,clean,6950,354,80,6950_86713_6950-86713-0009.npy
train,clean,6950,681,80,6950_86713_6950-86713-0024.npy
train,clean,6950,746,80,6950_86823_6950-86823-0033.npy
train,clean,3885,445,80,3885_1194_3885-1194-0015.npy
train,clean,3885,535,80,3885_12149_3885-12149-0012.npy
train,clean,3885,296,80,3885_7167_3885-7167-0013.npy
train,clean,3885,138,80,3885_1193_3885-1193-0026.npy
train,clean,3885,851,80,3885_183973_3885-183973-0034.npy
train,clean,3885,460,80,3885_12149_3885-12149-0021.npy
train,clean,3885,425,80,3885_183973_3885-183973-0021.npy
train,clean,3885,384,80,3885_1193_3885-1193-0030.npy
train,clean,3885,632,80,3885_12149_3885-12149-0022.npy
train,clean,3885,132,80,3885_1194_3885-1194-0029.npy
train,clean,3885,306,80,3885_12149_3885-12149-0027.npy
train,clean,3885,956,80,3885_1194_3885-1194-0004.npy
train,clean,3885,202,80,3885_183973_3885-183973-0004.npy
train,clean,3885,765,80,3885_12149_3885-12149-0005.npy
train,clean,3885,775,80,3885_1194_3885-1194-0016.npy
train,clean,3885,553,80,3885_12149_3885-12149-0018.npy
train,clean,3885,196,80,3885_1194_3885-1194-0020.npy
train,clean,3885,380,80,3885_12149_3885-12149-0000.npy
train,clean,3885,182,80,3885_1194_3885-1194-0010.npy
train,clean,294,187,80,294_130872_294-130872-0048.npy
train,clean,294,860,80,294_130872_294-130872-0013.npy
train,clean,294,559,80,294_130872_294-130872-0014.npy
train,clean,294,992,80,294_129973_294-129973-0022.npy
train,clean,294,786,80,294_129973_294-129973-0001.npy
train,clean,294,1011,80,294_129973_294-129973-0006.npy
train,clean,294,789,80,294_130872_294-130872-0052.npy
train,clean,294,936,80,294_129973_294-129973-0013.npy
train,clean,294,833,80,294_130872_294-130872-0019.npy
train,clean,294,951,80,294_130872_294-130872-0003.npy
train,clean,294,840,80,294_130872_294-130872-0068.npy
train,clean,294,861,80,294_130872_294-130872-0034.npy
train,clean,294,935,80,294_129973_294-129973-0012.npy
train,clean,4742,472,80,4742_41609_4742-41609-0004.npy
train,clean,4742,809,80,4742_41609_4742-41609-0007.npy
train,clean,4742,966,80,4742_41609_4742-41609-0024.npy
train,clean,4742,249,80,4742_74181_4742-74181-0010.npy
train,clean,4742,691,80,4742_41609_4742-41609-0018.npy
train,clean,4742,1008,80,4742_74181_4742-74181-0033.npy
train,clean,4742,849,80,4742_41609_4742-41609-0002.npy
train,clean,4742,539,80,4742_41609_4742-41609-0026.npy
train,clean,4742,841,80,4742_74181_4742-74181-0004.npy
train,clean,3595,674,80,3595_176646_3595-176646-0035.npy
train,clean,3595,957,80,3595_418_3595-418-0029.npy
train,clean,3595,781,80,3595_176633_3595-176633-0031.npy
train,clean,3595,174,80,3595_191322_3595-191322-0013.npy
train,clean,3595,927,80,3595_176633_3595-176633-0005.npy
train,clean,3595,880,80,3595_176646_3595-176646-0030.npy
train,clean,3595,1014,80,3595_176646_3595-176646-0001.npy
train,clean,3595,524,80,3595_418_3595-418-0032.npy
train,clean,3595,436,80,3595_191322_3595-191322-0009.npy
train,clean,3595,891,80,3595_176633_3595-176633-0025.npy
train,clean,3595,772,80,3595_191322_3595-191322-0034.npy
train,clean,3595,873,80,3595_176646_3595-176646-0024.npy
train,clean,3595,865,80,3595_176646_3595-176646-0031.npy
train,clean,3595,932,80,3595_176633_3595-176633-0019.npy
train,clean,3595,301,80,3595_191322_3595-191322-0011.npy
train,clean,3595,836,80,3595_176633_3595-176633-0015.npy
train,clean,3595,981,80,3595_176646_3595-176646-0006.npy
train,clean,3595,1045,80,3595_418_3595-418-0001.npy
train,clean,3595,440,80,3595_191322_3595-191322-0022.npy
train,clean,3796,482,80,3796_6400_3796-6400-0013.npy
train,clean,3796,898,80,3796_6400_3796-6400-0025.npy
train,clean,3796,886,80,3796_6400_3796-6400-0048.npy
train,clean,3796,1008,80,3796_6400_3796-6400-0029.npy
train,clean,3796,624,80,3796_16815_3796-16815-0032.npy
